Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-183.8966	-245.2306	61.33404	0.0828429	0.00192661	0.0410109	0.0395438	0.101683	0.042565	0.0467386	0.161562	0.0266407	0.0252608	0.0750246	0.151515	0.0193824	0.0172182	0.00376693	0.00416871	0.0118116	0.0390162	0.0303665	0.031935	0.0316099	0.0935573	0.104098	0.0169981	0.0449262	0.0380234	0.000104796	0.0514395	0.00867197	0.0169027	0.058711	0.000430058	0.0921201	0.0820945	0.0149266	0.00403487	0.0168479	0.016418	0.039133	0.0468467	0.0148525	0.00391277	0.0122176	0.0576484	0.0272269	0.0152392	0.00930108	0.95663	1.01084	1.18819	0.81181	0.020687	0.150856	0.554276	1.80415	6.62885	48.3394	2.80424	0.6832324	0.2365923	0.0442472	0.00102902	0.0219043	0.0211207	0.0543097	0.0227344	0.0249636	0.086292	0.0142291	0.0134921	0.0400714	0.0809255	0.0103524	0.00919643	0.00201196	0.00222655	0.00630868	0.020839	0.0162191	0.0170568	0.0168832	0.0499699	0.0556001	0.00907885	0.0239956	0.0203087	5.59725e-05	0.0274744	0.00463179	0.0090279	0.0313582	0.000229698	0.0492023	0.0438475	0.00797243	0.00215507	0.00899865	0.00876905	0.0209013	0.0250213	0.00793289	0.00208985	0.00652552	0.0307906	0.0145422	0.0081394	0.0049678	0.405905	0.594095	1.872273
36	-176.7844	-235.9213	59.1369	0.0498458	0.00827713	0.0271833	0.184894	0.451984	0.298673	0.102833	0.0715772	0.0133016	0.00787416	0.176118	0.353717	0.0758981	0.0830991	0.0494348	0.000777208	0.00926004	0.0280222	0.0486475	0.130591	0.0114073	0.195081	0.0436717	0.0535288	0.147194	0.0801746	0.00106723	0.0517712	0.101209	0.0884791	0.0754614	0.0221458	0.133851	0.0988516	0.0322167	0.051217	0.030931	0.023645	0.0498711	0.00601606	0.00667765	0.0335478	0.119961	0.0717423	0.084434	0.0259771	0.000112916	1.11677	0.970808	1.260078	0.7399217	0.0788164	0.289652	0.679384	1.47192	3.45242	12.6877	1.837054	0.5872029	0.2875868	0.0130752	0.00217119	0.00713052	0.0484999	0.118561	0.0783456	0.0269744	0.0187756	0.00348918	0.00206549	0.0461979	0.0927844	0.019909	0.0217979	0.0129674	0.000203871	0.00242902	0.00735057	0.0127608	0.0342556	0.00299228	0.0511721	0.0114556	0.0140413	0.0386107	0.0210308	0.000279948	0.0135802	0.0265483	0.0232092	0.0197944	0.00580911	0.0351107	0.02593	0.00845084	0.0134348	0.00811358	0.00620237	0.0130818	0.00157809	0.00175163	0.0088	0.0314672	0.0188189	0.0221481	0.00681411	2.96193e-05	0.369961	0.630039	3.81225
72	-167.695	-229.3655	61.67047	0.0169569	0.0341808	0.0141795	0.0433057	0.0315403	0.0353805	0.0424973	0.0122722	0.0615245	0.00309549	0.0378437	0.0217606	0.131126	0.0176889	0.00386262	0.0437589	0.0469434	0.0797351	0.0188339	0.0196355	0.0279253	0.0441808	0.0242637	0.0880495	0.27945	0.0697618	0.0321735	0.175755	0.104358	0.019757	0.0257569	0.00981289	0.0221971	0.0385384	0.0431682	0.0245559	0.0807345	0.03681	0.033545	0.00850949	0.00010931	0.00672183	0.0687656	0.0571616	0.0767693	0.0768976	0.000667632	1.86893	0.782767	1.536619	0.4633806	0.0681112	0.269748	0.664461	1.50498	3.70717	14.6819	1.942607	0.3015584	0.5968991	0.00773397	0.0155898	0.00646724	0.0197516	0.0143854	0.0161369	0.0193829	0.0055973	0.0280611	0.00141184	0.0172604	0.00992495	0.0598062	0.00806783	0.00176173	0.0199583	0.0214107	0.0363669	0.00859007	0.00895569	0.0127366	0.0201507	0.0110666	0.0401591	0.127456	0.0318181	0.0146742	0.0801613	0.0475975	0.00901109	0.0117476	0.00447563	0.010124	0.0175772	0.0196889	0.0111998	0.0368227	0.0167889	0.0152998	0.00388115	4.98561e-05	0.00306581	0.0313637	0.0260712	0.0350142	0.0350727	0.000304505	0.23169	0.76831	2.192518
108	-190.8463	-253.3036	62.45732	0.0185829	0.0137201	0.0100751	0.00297924	0.0474212	0.0204014	0.00423308	0.00299279	0.0578366	0.00509539	0.00757947	0.00185647	0.00100515	0.0330706	0.00609879	0.007493	0.0281205	0.0140821	0.0211408	0.0182223	0.00414065	0.0102807	0.00794938	0.0268215	0.054492	0.0200364	0.00487824	0.00140194	0.00899289	0.000779393	0.0156978	0.00110922	0.00843477	0.0120248	0.0147368	0.0206325	0.00343915	0.0169711	0.0112949	0.0120393	0.00011993	0.0153482	0.00659415	0.0136441	0.0416713	0.0224594	0.0165826	0.893987	1.0265	1.322344	0.6776555	0.00976686	0.104616	0.494462	2.0224	9.55876	102.387	3.346912	0.5124652	0.2177262	0.0267541	0.0197531	0.0145053	0.00428927	0.0682731	0.0293723	0.00609445	0.00430877	0.0832684	0.00733592	0.0109123	0.00267279	0.00144713	0.0476124	0.00878054	0.0107878	0.0404857	0.0202743	0.0304368	0.026235	0.00596137	0.0148013	0.0114449	0.0386154	0.0784532	0.0288468	0.00702329	0.0020184	0.0129472	0.00112211	0.0226004	0.00159697	0.0121437	0.0173123	0.0212168	0.029705	0.0049514	0.0244336	0.0162615	0.0173332	0.000172666	0.0220971	0.00949373	0.0196437	0.059995	0.0323352	0.0238742	0.338828	0.661172	0.6945802
144	-180.0388	-238.0741	58.03524	0.155209	0.0196141	0.00992597	0.0691497	0.199951	0.310805	0.0125697	0.000603321	0.049221	0.00829105	0.154476	0.0060631	0.00562043	0.0310463	0.0343392	0.0542716	0.0956604	0.133278	0.0363896	0.0827267	0.164127	0.0911599	0.0477708	0.0116416	0.0553571	0.0635083	0.0287953	0.108314	0.0476506	0.0302179	0.0502936	0.0456356	0.0700752	0.0158806	0.0115755	0.057768	0.0816475	0.0217188	0.0125105	0.0385019	0.0234444	0.197613	0.0202041	0.00747498	0.111474	0.0844799	0.0134278	0.788987	1.05275	1.330872	0.6691278	0.00138736	0.0403867	0.367428	2.72162	24.7607	720.795	4.75805	0.5027739	0.1873627	0.0520578	0.00657866	0.00332921	0.0231931	0.0670645	0.104245	0.00421593	0.000202356	0.0165089	0.00278085	0.0518118	0.00203359	0.00188512	0.0104131	0.0115175	0.0182029	0.0320849	0.0447019	0.0122052	0.0277469	0.0550488	0.0305754	0.0160225	0.00390466	0.018567	0.021301	0.00965804	0.0363288	0.0159822	0.0101352	0.0168687	0.0153064	0.0235035	0.00532642	0.00388246	0.0193756	0.0273849	0.00728459	0.00419609	0.0129137	0.00786333	0.0662802	0.00677655	0.00250714	0.0373888	0.0283349	0.00450375	0.334564	0.665436	2.981479
180	-178.8853	-242.2264	63.3411	0.0126961	0.0382567	0.00446322	0.00951679	0.0622629	0.0152958	0.0099534	0.0178575	0.00535951	0.0139537	0.0436486	0.0160552	0.00953515	0.00115485	0.00479071	0.00595918	0.00136115	0.0222252	0.0330154	0.0055074	0.0116342	0.0520844	0.00869306	0.0116813	0.0816021	0.0159037	0.0298594	0.0361201	0.0214331	0.00445578	0.00397856	0.00415021	0.0131049	0.00671964	0.000467016	0.015161	0.0253422	0.0292306	0.0119862	0.00242387	0.0172753	0.00190858	0.000100693	0.00135997	0.00306554	0.00243527	0.000757745	0.590187	1.10245	1.357107	0.6428925	0.0217472	0.154578	0.558507	1.79049	6.46924	45.983	2.768104	0.4737226	0.1338349	0.0170235	0.051296	0.00598445	0.0127605	0.0834844	0.0205092	0.0133459	0.023944	0.00718623	0.0187096	0.0585256	0.0215274	0.0127851	0.00154847	0.00642356	0.00799029	0.00182508	0.0298004	0.0442682	0.00738453	0.0155996	0.0698366	0.011656	0.0156628	0.109415	0.0213243	0.0400366	0.0484311	0.0287383	0.00597447	0.0053346	0.00556475	0.0175715	0.00900994	0.000626193	0.0203284	0.0339797	0.0391935	0.0160715	0.00325001	0.0231634	0.0025591	0.000135013	0.00182349	0.00411039	0.00326531	0.00101601	0.321446	0.678554	0.745803
216	-178.7674	-239.8209	61.05347	0.0368142	0.0260448	0.0133227	0.0172714	0.0531832	0.0685622	0.00581483	0.00614633	0.0247228	0.0117997	0.0371825	0.00551891	0.0203822	0.00188663	0.000187804	0.0102381	0.0120641	0.0292266	0.00785957	0.0148274	0.0113923	0.0459193	0.012094	0.026538	0.0331657	0.0360251	0.011564	0.00186855	0.0370005	0.0231904	0.0221748	0.0434135	0.00285768	0.0310411	0.00527448	0.00989793	0.0131353	0.0205124	0.0252936	0.00648781	0.00635054	0.000500035	0.000294117	0.00110637	0.00378492	0.000688002	0.0226	3.07131	0.482172	1.626532	0.3734683	0.00792916	0.0945035	0.479025	2.08757	10.5816	126.117	3.497635	0.2296102	1.592436	0.0429457	0.0303826	0.0155416	0.020148	0.062041	0.0799814	0.0067833	0.00717002	0.0288404	0.013765	0.0433753	0.0064381	0.023777	0.00220085	0.000219084	0.0119432	0.0140735	0.0340944	0.00916861	0.0172969	0.0132897	0.0535673	0.0141083	0.030958	0.0386896	0.0420252	0.01349	0.00217976	0.0431631	0.0270528	0.0258681	0.0506442	0.00333363	0.0362111	0.00615296	0.0115465	0.015323	0.0239287	0.0295063	0.00756837	0.00740825	0.000583318	0.000343103	0.00129064	0.00441531	0.000802591	0.0263641	0.186734	0.813266	0.8572263
252	-176.2844	-236.8054	60.52094	0.00261353	0.00844538	0.000913703	0.00413779	0.0196591	0.00929347	0.00260172	0.00201142	0.00435308	0.00118795	0.00334288	0.000769814	0.00729048	0.00107816	0.000245214	0.00310738	0.00101008	0.00278214	0.0174077	0.0112602	0.00965128	0.00904164	0.0041205	0.00361038	0.00586249	0.0095051	0.00775859	0.00458672	0.012209	0.00294107	0.00247962	0.00967959	0.00097283	0.0015791	0.000103777	0.00217663	0.000914099	0.0132328	0.00120549	0.00767506	0.000560974	0.00240303	0.00447737	4.45754e-05	0.00103553	0.00506347	0.00429137	1.57905	0.855238	1.171452	0.8285476	0.00264342	0.0553074	0.405295	2.46734	18.0808	378.298	4.291908	0.7072824	0.4615819	0.011329	0.0366087	0.00396068	0.0179363	0.0852173	0.040285	0.0112778	0.00871901	0.0188696	0.0051495	0.0144906	0.00333696	0.0316025	0.00467357	0.00106294	0.0134697	0.00437845	0.0120599	0.0754581	0.0488104	0.041836	0.0391933	0.0178614	0.0156501	0.0254125	0.0412024	0.0336316	0.0198823	0.0529231	0.0127488	0.0107486	0.0419587	0.00421699	0.00684501	0.00044985	0.00943518	0.0039624	0.0573609	0.00522552	0.0332696	0.00243169	0.0104166	0.0194083	0.000193224	0.00448876	0.021949	0.0186021	0.414274	0.585726	0.2306932
288	-181.0977	-241.9818	60.88407	0.0260683	0.053675	0.0061951	0.0162881	0.0616763	0.0473884	0.00662032	0.050858	0.0255854	0.0296609	0.0217652	0.0236687	0.0407413	0.00154887	0.0045988	0.02401	0.043068	0.00192152	0.00136777	0.00501133	0.00356858	0.0346708	0.014245	0.00973901	0.0230025	0.00698851	0.0324853	0.0634257	0.0618318	0.0231607	0.0119341	0.0152591	0.00149061	0.0339144	0.000118703	0.0169637	0.00595259	0.0528364	0.00547086	0.0159306	0.000474122	0.00395211	0.0251861	0.000424763	0.02613	0.00248412	0.0217756	0.87411	1.03147	1.398463	0.6015371	0.00126038	0.0385396	0.3621	2.76166	25.9473	793.411	4.827455	0.4301416	0.2118597	0.0259352	0.0534009	0.00616347	0.0162049	0.0613613	0.0471464	0.00658651	0.0505982	0.0254547	0.0295094	0.0216541	0.0235478	0.0405332	0.00154096	0.00457531	0.0238873	0.0428481	0.00191171	0.00136078	0.00498574	0.00355036	0.0344937	0.0141722	0.00968927	0.022885	0.00695282	0.0323194	0.0631018	0.061516	0.0230425	0.0118732	0.0151811	0.00148299	0.0337412	0.000118096	0.0168771	0.00592219	0.0525666	0.00544292	0.0158492	0.0004717	0.00393193	0.0250575	0.000422594	0.0259966	0.00247144	0.0216644	0.300769	0.699231	1.005133
324	-178.7098	-239.5173	60.80747	0.0205874	0.0103179	0.00377493	0.0133754	0.0331771	0.0533431	0.00463374	0.0136716	0.012696	0.00681735	0.00794008	0.00871193	0.031334	0.00119173	0.000203118	0.00049961	0.036129	0.0249405	0.0213798	0.00518797	0.0154002	0.00850508	0.00989057	0.013276	0.0470678	0.00255768	0.004515	0.0252057	0.022771	0.0130367	0.0154453	0.0418849	0.00252904	0.00329613	0.00558392	0.015238	0.0194401	0.0287608	0.027703	0.00803529	0.00887993	0.00163294	0.00975294	0.0332241	0.00251331	0.00884287	0.0176591	2.03231	0.741923	0.8943142	1.105686	0.0107652	0.109701	0.501838	1.99267	9.11565	92.8919	3.276541	1.236351	0.6848109	0.0284924	0.0142796	0.00522439	0.0185111	0.045916	0.0738251	0.00641295	0.0189211	0.0175709	0.009435	0.0109888	0.012057	0.0433652	0.00164931	0.000281109	0.000691444	0.0500014	0.0345169	0.0295889	0.00717999	0.0213133	0.0117708	0.0136882	0.0183736	0.0651404	0.00353976	0.00624862	0.0348839	0.0315143	0.0180424	0.0213758	0.0579674	0.00350012	0.00456175	0.00772797	0.021089	0.0269045	0.039804	0.03834	0.0111206	0.0122895	0.00225994	0.0134978	0.0459811	0.00347834	0.0122383	0.0244397	0.552843	0.447157	0.7225597
